"sample","p_cncr9254","p_cntrl9744","p_cncr2193","p_cncr5103","p_cncr9379","p_cntrl8450","p_cncr9674","p_cntrl4930","p_cncr1282","p_cntrl1266","p_cntrl3501","p_cncr7595","p_cncr2992","p_cncr5928","p_cntrl1083","p_cncr5269","p_cncr5428","p_cncr7863","p_cncr6232","p_cncr6008","p_cncr7650","p_cntrl8718","p_cntrl7961","p_cntrl6150","p_cntrl1211","p_cncr6234","p_cncr2844","p_cncr2962","p_cncr3365","p_cncr9197"
"01010001000111010000",198159,7671417,184759,36777,1068,81579,296842,88431,4993,410367,28621,1552101,8198,54846,84830,6230,67651,34509,400009,17448,2288075,4926,7113,317633,45595,90085,958156,3048,10169,826601
"01110001110000001000",1756,27533,1114185,163,84341,926512,103431,3328,244932,7850,51222,293397,48116,1050,342116,4355,22830,770377,323550,320963,5780,1224993,717187,423768,2807,35010,39255,111770,68575,348796
"00101111100110101001",279,37,14,92,267,44899,423,466,1730247,107827,269,709,4246,131170,2928,17,54,5819,424,340,2237,3070,4,319,139,20332,36725,698,1331,30
"11011001011111010101",25396,1418,35,2047,219,859175,131,148855,44897,3991,1099,208,3069,102543,12650,12,667,45,80,1046,1074837,28,2779,719,1247,249588,1278338,6922,0,89
"11110001010001000000",4699,8698,9473272,16470,1575,579833,57152,4548,90825,89620,16228,13650,554,849,959560,123937,3666,474918,916934,147869,3222,1297,2943120,4085,59757,878389,17973,2445571,6390,54405
"00010111010011101010",141976,3422,158815,47928,6264,327708,31145,19215,1831,2768302,4132,33221,9419,26844,6279,1021629,4395,132690,32532,198289,2690,4622,57837,93040,9180,5234226,10299,4547,8361105,87979
"11100101000101100010",30055,4123,3873790,2295067,86,48243,134388,25705,418543,2519833,60592,194340,1695,28747,1357111,586061,7949,868254,6933321,21428,4414,974,107744,13037,8222,133523,5004,1084314,119303,282521
"01010100000100100110",2758,2138791,1351114,2132917,28,359056,1458206,8014833,72983,182025,51591,479697,349191,125803,9195,2002206,80259,2848421,18976258,8262,7818,17615,32889,410330,84714,4211,182618,120315,33752,6552895
"01110001001110111001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"11000111010000101101",21814,4586,110275,178980,4224,2386196,536598,163537,48289,16225,3100,100336,52657,1084,7987,38940,160306,751109,105443,825680,1009,2007,3705028,267256,48064,11716,203399,1018857,99616,82917
"11010000111000110101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"01111101110100000000",6047,248624,3960898,2876,7373,2721525,5990393,889,1260391,321268,55075,121127,82757,97023,2377569,210254,258649,314030,4074462,2325,3769,2484910,16344,253420,1558,3465,12701,79871,1595,2214640
"01010001101101000000",27141,266822,320785,4926,3323,88975,482248,16756,34275,38473,73169,3911694,18951,1004282,1419102,28800,29473,682213,328010,10958,1986034,74448,14690,59381,1495,7328,1412404,56199,201,683238
"01010010001001100000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11101100110111110011",930,67,3563,3320,96,16981,22,22347,37343074,88321,89675,396,6065,475175,332749,545,245,8903,133,1245,2535,503,18,793,92,1869461,9043,16908,198,18
"00000111101100010010",75216,7909,45077,10325,36,81023,633085,27738,155,19655,2681,9193732,11493,125126878,5620524,14736,2519308,52358,205277,18686,841209,716014,8921,133498,266,7166,6719843,31152,244467,1022953
"11101001111000000001",8020,23813,134341,3975,87337,415931,303667,998,234263,3205,731897,66909,2276,3273,4737329,10828,63611,109195,470433,200902,18021,176071,4641307,36638,13517,1734,105230,4544258,307,20115
"11111111000001001001",942862,8822,61592,24084,1149,220902,1273817,2570,275399,890494,2425,7477,5597,1911,1873,34315,23130,80008,39041,46268,3695,3036,22617,6486,1102482,98474,13200,50528,165571,66085
"00100110101000101101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011001101011111011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11100110010010100001",979,13660,6570969,50205,2616,17939,27944,56942,518741,84796,38048,82423,964,3459,85814,9203118,15036,12748682,713582,134454,87,1977,177210,12752,417468,109582,59857,254778,200602,7274
"00100100010010011111",545957,2661,73014,365961,353754,839818,1431,5805698,4450,12440,51756,29504,147910,1093,3635,18396,735533,7559,297703,2218231,3139,534851,181798,1545981,12455,255289,43168,261790,12329802,7145
"11100001011100101110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011101111011001010",4192358,18011,43017,5918,546735,910287,98229,39733,59915,112625,181478,131701,206606,102199,71948,105377,25726,5968,5650,69557,704008,4974032,186814,1235609,130,256934,6526,3773,9830,77883
"00101000111001100100",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11010010100111100000",1288,185557,867870,58304,233,3197,39047,3170,860003,565036,221543,1004449,14575,423547,210179,3242998,5989,43421437,33808,97342,259941,2716,971,549,766688,889340,143901,13514,1647,13571
"00100001010110001101",496,11,42,2176,4766,8466768,3,20745,17978,663,135,152,585,308,15742,2,273,398,2035,5939,2422,1658,12271,816,92,47914,60860,173534,52,5
"00101000110111101110",41625,3811,47972,460658,15659602,462390,83,3252,2497319,1377875,26186583,2978,132930,1503,151122,50283,73042,67596,146879,197957,54618,3518349,8556,12844,8064,465725,210,211574,6055,961
"01101010100000111110",3376,166848,9109,2060,18226,27968,5032,65608,1604293,114546,2050456,22280,105012,5052,17847,280,939737,151947,114796,76174,138752,2005581,9286,77713,227449,11060,28333,8715,649788,89474
"00111001011111010111",33366,156,10,1878,2453,685710,4,53054,5322,47916,3020,14,438,62098,16354,12,1002,8,935,492,69231,148,337,401,670,458673,95245,3361,14,63
"11011111010110100001",116,3317,562,1281,0,544451,21429,2432,204899,48749,71,566,684,182689,11106,2963,73,14538,507,158,528,10,833,499,5888,46928,206405,2242,13,824
"00111011011100010011",438,593,61,23,2,465161,196,1189,507,5570,215,142,23,898729,252722,9,4106,172,1360,78,1944,335,1065,604,2743,15095,2007099,3630,212,4745
"00011011101010111001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"00001110101000010010",21774,46618,45607,3688,56,49208,511275,105187,1682,12837,20404,276637,23460,33385703,281985,18937,632147,38631,75212,11454,507719,5560552,7536,60023,2824,8420,2201952,48719,202394,136124
"11111101001011110110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10000101001001011010",4651554,270,86128,124129,227,98330,99082,839912,454,14043,2282,818234,43397,556037,32916,3846,13886,3505,26960,1073612,1127241,23177,1110671,214111,497,1257906,647152,540598,1639158,121686
"00100101010111011011",60121,2,340,2133,424,685944,4,53592,8824,16828,158,654,681,41250,52520,7,516,99,160,3020,1875,826,303,10258,4,2441028,35428,13344,27017,42
"10010010010000000100",287,9418,850522,129018,34,3586257,59831,32849,1088,3374,1070,6636,4382,13540,63207,537967,54499,1160304,308557,472643,5735,6698,2900369,441,1475274,303728,514262,8789950,3255,10042
"00001101001100010110",957129,161912,7811,719843,349,2295174,1585793,889771,341,59840,11023,154487,81369,1660274,84153,3134,2361476,429,4359131,5400,2271033,496900,135483,662902,1801,1163,913578,166471,7343,1916711
"00101000001101100101",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10010101001001001111",11604861,309,6028,4792250,2469,899856,243107,2018978,609,25056,2272,54140,233626,26420,492,92705,11497,8876,62312,3780485,107697,1510,786619,36807,29087,381609,203185,1390533,159864,35942
"01100100110010000100",2142,4643,2781935,24491,454300,579047,4599,909587,1964881,11356,71896,46779,80602,6082,403565,385169,108456,724463,1315238,86966,12175,4959176,88754,41876,489,65832,11515,511430,6042,1262
"01101111011100100010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00011011001101111000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00110110011000111100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10010100000110000010",23355,47019,956439,10663373,2,251787,735146,130896,963,40291,3807,753452,29126,477806,48847,16689801,8756,345550,1244731,207478,34757,25494,132850,8633,154166,501727,104522,494243,72647,78356
"10100011100001100011",4868,475,22705,306535,952,12944,20787,284,21934,814440,176499,16243,209,8267,718885,55800,7192,1970882,233051,1839547,2209,190,15940,215,339434,306354,19660,2182440,1704951,1810
"01011010000011101011",124039,7232089,5310,105779,5167,34630,44047,28919,44824,1132549,1059781,18758,3939,823,396,59939,13348,274080,15547,54170,19007,5464,8875,87039,14174273,40570,24707,1758,381507,56338
"10110100001000011101",285532,1742,170937,23146,5956,21849,97867,17191092,26702,4479,4131,250836,3839224,63813,78,46937,32883,64972,414183,2496973,32162,17304,50346,112990,307374,242911,4174771,233119,557367,153539
"10011101110011011010",5605790,2289,38175,80426,13928,922440,277350,5361,11381,377384,44886,42149,1286254,144842,27270,34795,27977,1757,2026,4166313,528408,273202,43188,167846,2106,27103291,6114,25426,575414,20595
"00000110000101000001",150,38,2082,5138,0,389723,302,58841,9531,3803,6,612,67,2162295,38758,196,192,55811,496,48,864,113,20,44,134,30300,2302953,421331,166,20
"01110100100000010101",12242,240579,448022,9058,9101,42120,788663,8103730,800854,26896,52688,279821,2499054,57253,2902,28548,455214,953741,1963416,154967,11687,87555,650,416021,66949,10813,1329157,57906,343957,244524
"11101110011000101001",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00010100000101100001",46,961,10061,4956,0,54474,4185,482131,211146,49801,130,1520,8710,1593406,658,2144,4,293622,6183,135,229,6,4,764,578,83664,2081226,68458,394,924
"10010101000011011111",49705342,2738,2036,10879527,4271,425871,150867,2606172,545,196564,3662,55602,782005,7758,123,16754,39687,1363,18937,19783484,382906,765,47237,129457,144963,6563861,101560,57896,5478540,13438
"00100000100011110000",1578,37570,698811,4166,151150,683,1936,76031,941345,856452,1781081,136206,31123,43090,45370,16758,1801,1111215,653831,289121,117509,24095,252,13055,15318,1509177,117099,29003,653393,3045
"11100010110110110000",224,42748,5845732,1980,4214,3366,2482,2118,1592889,70389,837979,1503897,6494,146655,10601103,224642,250143,11158451,144572,170277,27948,72105,11960,8841,95302,385098,183742,25222,15419,24862
"00000110110110100000",348,22542,3918273,24772,2785,92317,64463,6278,66251,132038,34518,1090931,31475,2231542,1288636,6140502,70387,15203014,349150,24714,4170,458444,2435,29484,1710,54972,194860,75484,24062,20511
"10100100111110111100",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000111110001011100",342122,1029,135058,2271,116111,2278542,24138,190374,72368,31068,3241,126233,244920,85849,212119,573,3716872,49079,3617,147365,283331,767035,22794,437146,80,179389,179640,52933,100933,26686
"00100101011110101111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00010010000110101110",6927,213546,10001,602541,647,146095,6585,109620,2005,170243,35280,137946,47914,14575,1331,218257,53838,481925,310459,179753,73298,33745,26437,15019,2499410,102892,101537,7165,181142,97672
"11110010111101000000",1957,1323,19308186,1130,2632,22301,1888,1017,571201,21992,94784,255819,1557,1096423,25664589,2931996,98690,16086209,41256,27483,33927,96613,31829,295,30625,572470,160060,347088,138,21950
"10010011011011001100",388385,197,15283,33164,82671,814951,1265,25568,711,20327,1268,12737,7172,9155,9508,84714,11011,13398,4827,2081857,854291,6164,3370533,938,54671,8595641,125855,90518,1758,1345
"10100111110001100001",4751,64,1493627,37034,15746,52517,81476,550,307014,1054711,21173,17585,2971,45614,738180,935128,10204,6049542,192896,613614,139,568,7319,1279,8939,686584,24241,2963678,437097,2638
"10111000100111110110",46593,48354,32293,1279869,15686,6926,4427,13849,1278766,9968248,9081892,8265,571225,92180,16171,217520,26922,63548,385489,533519,950315,11520,260,774,1980334,6444212,4687,24068,14602,7770
"10001110101110010101",1806,30,11,1923,5,51622,229,192066,49954,631,92,1429,26673,49471047,8003,58,2486,689,40,1223,1334548,3827,17,32,370,67882,7954178,12081,3,3
"00000100111000100111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11110110011101111010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11010111100101111001",1686,55,375,71,1,10247,5256,20016,1488674,32481,63,34298,104868,7102103,2785,16,134,83432,9,3867,18785,10,3,1687,272,829653,3398171,683,2483,2001
"01101000001001111111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000111110010011000",76153,16072,149037,321,26814,393070,113787,39386,15170,8938,3259,3064214,77844,119452,354890,2247,868883,68364,5044,221647,208284,3737040,70205,2754122,155,96518,434626,2926,685392,66163
"00001000010100001111",339,347,34,33286,19,113128201,42,43726,5471,133,1331,42,1979,2606,18957,2,2546,391,524,1301,2292,22693,33044,2880,385,3140,85181,3341895,17,42
"11010010111001011111",560510,2222,28291,14061,19947,127283,1856,363739,10012,1681,217767,177707,162571,116810,62511,15403,2365984,192618,370,6839895,408778,46597,177290,45221,114674,885705,1243703,129422,28616,17494
"00010110111110110110",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11110001011111110001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00110110111010101001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000101000000111010",44325,64835,95983,42282,167,132054,1898225,919043,1480,93187,8740,1432748,205372,57309,4130,1634,15231,35479,1113335,314142,20537,27991,167439,11235581,1971,34515,587327,54818,100505305,4791441
"10101000011110111101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01010101000011111110",2536768,172438,17945,193887,23626,66030,93828,24314399,41384,2249732,37580,196191,1648082,10003,141,10582,19056,10234,122183,331392,569527,3519,13682,3664285,13259,1159456,50039,563,4880058,700371
"00001110101001001111",2045390,881,1351,265886,51674,572548,16207,197116,11818,25757,54212,10433,105967,236608,5372,16285,594226,24124,5272,101079,243031,2055744,5613,13825,5748,12667,81793,415989,35566,1472
"01111010001111011101",18132,825,11,30,1339,16188,1,359912,670425,11231,1018,141,2247,70933,235,2,1589,268,29,90,597267,1318,10,198,14836,133237,805104,67,8,46
"00001010111010101011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10011111101100011110",2347776,2615,1542,48592,179,466140,1184796,17737,1878,47342,3189,409244,3068857,15902778,18358,10211,2656745,2956,12306,262175,8489218,870270,18587,28567,20164,93137,532002,10392,23958,742415
"11011110010001011101",1414828,38874,171509,64545,3757,1780856,227403,369567,122895,60595,9413,6555,502486,14039,838,27395,1688527,44401,2564,192000,19746,16710,29430,110711,758332,314015,205482,114910,24982,60202
"11001101101101011001",73934,38,70,161,26,104206,3081,51894,1042686,1063,423,19964,81328,5834819,26725,1,438,370,8,1040,1467343,3321,113,8333,3,33333,2348645,16638,10,285
"11011001010110010001",690,39825,180,786,1,1590434,7687,6297,17582,1773,476,1417,1116,31629,41596,10,423,312,323,1318,33403,62,6163,4769,5758,48614,1445371,8030,4,969
"01011101111111001001",43066,180,129,55,5828,930736,621,17587,895495,5116,877,3461,48773,779142,12888,67,130,723,12,267,91603,16561,108,18599,2,61313,146636,821,2,165
"00100101011010001000",88418,429,599935,1885,628485,339953,8185,116339,7096,10626,3025,239561,10093,9030,54906,61313,5300,16153,762876,127892,13836,1393173,2957954,399094,126,127708,63038,94263,142883,24305
"10010101011110011110",5458698,1562,42277,439969,4596,1384454,47689,1066887,233,12017,3172,1194721,1604403,538255,17129,151984,361272,1361,65643,2303370,1281614,119622,2348225,703599,3390,1780098,392396,28969,44519,477595
"01100101110100010000",7944,30626,10753817,1476,8025,436449,424434,16904,263349,38978,32739,2880204,54793,361616,23720495,10098,1868723,324503,2269625,13993,13262,1792050,19507,1899099,73,8431,236001,150175,44515,1403385
"01100001001011011010",2313891,13809,20853,3424,188136,11367,478,565820,6948,43570,162311,460526,1248,3593,84949,330,28109,2037,73743,153700,3158847,147969,536990,503849,2216,305336,84202,3964,682736,48294
"00111010100000000000",166,159694,174651,834,351,79667,250862,491,79747,104711,29580,7517,3756,54537,68275,53365,21228,1291474,859052,13133,9875,599216,2553,515,865370,18470,83549,101385,26852,25466
"11111100101010010110",198307,28669,45775,34088,5713,11095,52998,3123549,595171,48704,286361,73604,1277870,525928,10168,309897,98293,11876,225943,215767,3114140,906036,22278,17345,66706,471266,51206,7072,11992,29113
"11100111011101101010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01111111110010011100",244864,23487,20913,248,975023,653921,59889,23987,562394,315552,12154,18333,863119,14186,7845,4236,1726253,6448,23736,72970,162963,4483717,6798,251726,9197,214722,14802,303,101486,72402
"11110110000001010011",147636,13626,1237665,111663,10,9991,97478,301504,21272,254447,8036,53498,1853,107683,26952,490229,171216,717546,92899,115927,2106,518,5226,6296,2369385,1017834,230638,89079,7516967,110635
"00100110010111100000",2751,2459,21815060,50887,18419,30080,1179,8417,244283,4330939,28186,29758,805,127744,516051,12276042,18636,4578683,1292581,4016,521,18802,1501,2873,8686,812612,12777,82289,62159,6999
"10010100110001011101",480785,648,489304,137389,43444,714188,110417,870923,86163,11850,21670,88968,32289641,100597,1744,57428,142646,247843,4745,19569077,26212,34893,6564,153820,11367,4372601,478652,1916656,194592,9578
"00001111110110010101",1703,131,9,876,112,5774194,762,9038,12838,6307,55,213,7592,1629168,66681,5,24268,141,114,451,46512,5804,24,897,25,20655,734465,6355,23,14
"11101010110100001001",20,25,888,45,15,897148,27,115,4415545,159,1433,362,344,15079,1046307,9,1486,55435,27,1093,1034,33046,2269,56,950,17781,58566,386667,5,10
"10000111110011110110",116586,152,41180,679824,8632,129993,8434,52159,9225,1100730,23284,22065,50717,437991,313210,201114,126455,47530,16045,3162724,156095,2692,18990,4315,2297,20887131,23880,96627,586309,1327
"11001111100101000010",214394,7714,64180,1154250,14,1129160,1349494,378,42033,418907,15238,90214,1752,959726,14403912,78909,609790,104057,31051,9046,326359,135559,23686,1815,4174,26574,8448,590552,2859,26362
"11010111001010000000",35747,32784,167979,10650,28,35963,1773131,183015,1996,18368,204,1240697,2573,524044,25693,1493885,5879,188004,168634,44441,319580,4662,815248,7648,59482,109978,1657908,7584,9200,131280
"11000001011000111111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00011011111010100001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01111000010011100011",14350,3836852,422326,132144,151613,66004,11153,24174,554323,2998843,19434362,2129,1263,173,17177,1046738,6714,352603,1137786,32303,470,3460,35161,91443,2657095,90392,2373,34812,62227,42599
"10001100000011111011",2520880,57636,21806,3687626,2926,20381,141879,434282,39379,688224,507833,59072,312446,14496,268,39085,6252,15423,21550,1738155,56387,5015,9716,365277,265265,1027921,41314,85537,6210782,13617
"00001011101101100100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
